ID,Nom/Descripció,Pool (acció font),Conseqüències,Tipus,Ús únic,Condicionants d'aparició,Condicionants de bloqueig
ev_rastre_fresc,"Rastres frescos! El grup segueix la pista i torna amb extra.",pool_caca,+3 🌾,Efecte simple,No,Cap,Cap
ev_bestia_ferida,"Una bèstia ferida ataca. El caçador resulta ferit lleu.",pool_caca,"-1 🌾, -5 ❤️",Efecte simple,No,Cap,Cap
ev_ramat_migracio,"El ramat migra cap al nord. Les preses escassegen.",pool_caca,-2 🌾,Efecte simple,No,Cap,Cap
ev_caca_abundant,"Temporada de caça abundant. Reserves extra per a la família.",pool_caca,+5 🌾,Efecte simple,No,Cap,Cap
ev_desc_llancador,"Veus un caçador d'un altre grup llançar una pedra amb un pal llarg.",pool_caca,"Opció A: -2🌾 → desbloqueja Punta de Llança | Opció B: +2🌾",Descobriment (bt_punta_llanca),Sí,"ut_eines descobert, Impuls ≥ 0.25, Sociabilitat ≤ 0.30",Habilitat ja apresa
ev_desc_trampes,"Trobes un grup amb llaços de fibra vegetal en llocs de pas.",pool_caca,"Opció A: -2🌾 → desbloqueja Trampes i Llaços | Opció B: +2🌾",Descobriment (bt_trampes),Sí,"ut_corda descobert, Impuls ≥ 0.10",Habilitat ja apresa
ev_desc_marques,"Trobes incisions en l'escorça d'un arbre que marquen el límit d'un altre clan.",pool_caca,"Opció A: -1🌾 → desbloqueja Marques de Territori | Opció B: +1🌾",Descobriment (bt_marques_territori),Sí,"ut_art descobert, Impuls ≥ 0.20, Intel·lecte ≥ 0.05",Habilitat ja apresa
ev_bison_ferit,"La sang és fresca — el rastre no té més d'una hora. El bosc s'endensa.",pool_caca,"A: +8🌾 -4❤️ | B: +3🌾 | C: -1🌾 +1❤️",Elecció (3 opcions),No,Cap,Cap
ev_grup_estrany,"Un altre grup ha fet foc al torrent, just on jo pensava anar avui.",pool_caca,"A: +2🌾 +1❤️ | B: -2🌾 | C: -1🌾",Elecció (3 opcions),No,Cap,Cap
ev_mamut_sol,"Un mamut vell s'ha quedat enrere del ramat. A cent passos.",pool_caca,"A: +12🌾 -6❤️ (amb Punta de Llança) o -12❤️ (sense) | B: +10🌾 -1❤️ | C: +2🌾",Elecció + modificador d'habilitat,No,Cap,Cap
ev_trampa_rival,"Un rens enredat a un llaç que no és el meu.",pool_caca,"A: +6🌾 -2❤️ | B: 0 | C: +3🌾 +1❤️",Elecció (3 opcions),No,Cap,Cap
ev_fruits_madurs,"Fruits silvestres madurs. Una troballa inesperada.",pool_recollecta,+3 🌾,Efecte simple,No,Cap,Cap
ev_plantes_toxiques,"Algunes plantes eren tòxiques. Malestars al grup.",pool_recollecta,"-2🌾, -5❤️",Efecte simple,No,Cap,Cap
ev_bolets_rars,"Bolets estranys però comestibles. Extra de provisions.",pool_recollecta,+2 🌾,Efecte simple,No,Cap,Cap
ev_desc_rasclador,"Una dona rasca una arrel amb un fragment de sílex molt fi.",pool_recollecta,"Opció A: -2🌾 → desbloqueja Rasclador Fi | Opció B: +2🌾",Descobriment (bt_rasclador_fi),Sí,"ut_eines descobert, Impuls ≤ 0.10 O Intel·lecte ≥ 0.20",Habilitat ja apresa
ev_desc_coneixement_plantes,"Un ancià recol·lecta plantes amb una precisió inusual.",pool_recollecta,"Opció A: -2🌾 → desbloqueja Coneixement de Plantes | Opció B: +1🌾",Descobriment (bt_coneixement_plantes),Sí,"ut_corda descobert, Intel·lecte ≥ 0.10, Impuls ≤ 0.20",Habilitat ja apresa
ev_desc_llavor,"Mentre mols grans notes que alguns son més grossos. Podrien donar plantes millors.",pool_recollecta,"Opció A: -2🌾 → desbloqueja Llavor Selectiva | Opció B: +1🌾",Descobriment (bt_llavor_selectiva),Sí,"ut_ceramica descobert, Intel·lecte ≥ 0.10, Impuls ≤ 0.20",Habilitat ja apresa
ev_pluja_tardor,"El cel s'ha tornat groguenc. La tempesta és propera.",pool_recollecta,"A: +3🌾 -1❤️ | B: +1🌾 +1❤️ | C (amb Coneixement Plantes): +2🌾 +1❤️ +1🪨",Elecció (3 opcions / habilitat),No,Cap,Cap
ev_ossa_amb_cries,"L'ossa és al roure que volia collir. Cries al tronc. M'estudia.",pool_recollecta,"A: -1🌾 +2❤️ | B: +2🌾 -2❤️ | C: +1🌾 +1❤️",Elecció (3 opcions),No,Cap,Cap
ev_fong_blanc,"Un fong gran i blanc desconegut. El grup té gana.",pool_recollecta,"A: +3🌾 -3❤️ | B: 0 | C (amb Coneixement Plantes): +2🌾 +1❤️",Elecció + modificador d'habilitat,No,Cap,Cap
ev_arbust_espinos,"Baies madures però l'esbarzer les tanca per tots costats.",pool_recollecta,"A: +3🌾 -1❤️ -1🪨 | B: +1🌾 | C: +2🌾 +1❤️",Elecció (3 opcions),No,Cap,Cap
ev_eina_trencada,"L'eina es trenca durant la feina. Cal refer-la.",pool_artesania,-1 🪨,Efecte simple,No,Cap,Cap
ev_tecnica_nova,"Un descobriment accidental millora la tècnica.",pool_artesania,+1 🪨,Efecte simple,No,Cap,Cap
