Nom,Zona,Tipus,Requeriments,Output principal,Efectes secundaris,Material generat,Inclinació afectada,Nota
Espiar el Ramat,Planes,Base,—,🌾 3–8 aliment,-5 ❤️,2–4,+Impuls +Intel·lecte,Risc moderat de ferides
Recol·lectar Arrels,Planes,Base,—,🌾 1–3 aliment,—,2–3,-Impuls +Intel·lecte +Sociabilitat,Estable i segur
Tallar Pedra,Campament,Base,—,(només material),—,2–3,-Impuls +Intel·lecte,Genera material sense cost d'aliment
Ritual del Foc,Campament,Base,El Foc,🏛️ 1–2 reputació,+5 ❤️,—,-Intel·lecte +Espiritualitat +Sociabilitat,Requereix descobriment del Foc
Contemplació,Campament,Base,—,❤️ 3–6 salut,—,—,-Impuls +Espiritualitat +Sociabilitat,Recuperació sense cost d'acció
Vigilar el Campament,Campament,Base,—,🏛️ 1–2 reputació,—,—,+Impuls +Sociabilitat,Construeix vincle i reputació
Explorar els Voltants,Planes,Base,—,(material),—,3–5,+Impuls,Desbloqueja zona Bosc (primera vegada); després esdeveniments de caça
Cercar Parella,Campament,Base,"Edat 5–14, sense parella",(obre Llar),—,1–2,-Impuls +Sociabilitat,95% d'èxit; desbloqueja la zona Llar
Tenir Fills,Llar,Base,"Parella, fills < màxim, edat ≤ 15",(add fill),—,1–3,+Espiritualitat +Sociabilitat,Probabilitat d'èxit basada en salut (25–95%)
Ensenyar el Fill,Llar,Base,"Edat ≥ 8, fills, habilitat apresa, no ensenyat",(millora herència),—,1–2,-Impuls +Espiritualitat +Sociabilitat,+50% taxa d'herència de habilitats per al successor
Caça amb Llança,Planes,Habilitat (Punta de Llança),"Edat ≤ 15, cost 4🪨",🌾 5–12 aliment,-7 ❤️,—,+Impuls,Risc moderat però alt rendiment
Emboscada Nocturna,Planes,Habilitat (Punta de Llança),"Edat ≤ 12, cost 5🪨",🌾 8–16 aliment,-20 ❤️,—,+Impuls -Sociabilitat,Molt perillós; màxim rendiment alimentari
Marcar Territori,Planes,Habilitat (Marques de Territori),"Cost 3🪨",🏛️ 1–3 reputació,-3 ❤️,—,+Impuls,Reputació a cost de salut
