id,era_id,nom,icona,zona,categoria,descripcio,stat_clau,requereix_habilitat,requereix_tecnologia,requereix_fisic,requereix_salut,requereix_parella,requereix_fill,requereix_destresa_ensenyable,output_menjar,output_salut,output_felicitat,output_reputacio,risc_salut,guany_fisic,guany_intel,guany_social,descobreix_destreses,pool_events,flags_especials
gather,prehistoria,Recol·lectar,🌿,wild,survival,Baies arrels i bolets. Segur però lent.,intelligence,-,-,-,-,-,-,-,15,2,5,-,0,-,0.3,-,medicinal_plants|fishing,good_harvest|found_herb,bonus_stone_tools
observe_nature,prehistoria,Observar la Natura,🔍,wild,knowledge,Contemplar l'entorn. Acumula coneixement i pau interior.,intelligence,-,-,-,-,-,-,-,-,-,18,-,0,-,0.6,-,medicinal_plants|art_narratiu,-,""
hunt,prehistoria,Caçar,🏹,forest,survival,Sortir a caçar. Risc moderat bona recompensa.,physical,-,-,2,-,-,-,-,22,-,-,-,10,0.4,-,-,tracking,rival_hunter|injured_companion|great_prey,risk_reduction_stone_tools
craft_tools,prehistoria,Fabricar Eines,🪨,town,knowledge,Treballa la pedra i l'os. Enforteix la ment i les mans.,intelligence,-,-,-,-,-,-,-,-,8,3,-,0,0.15,0.5,-,weaving,-,""
find_partner,prehistoria,Buscar Parella,💑,town,home,Socialitzar per trobar algú amb qui compartir el camí.,social,-,tribal_organization,-,-,-,-,-,-,-,20,5,0,-,-,0.5,socialitzar,rival_suitor,generatesPartner
have_children,prehistoria,Tenir Fills,👶,home,home,Créixer com a família. Genera 1 fill si la qualitat és suficient.,social,-,-,-,40,true,-,-,-,-,15,-,0,-,-,0.3,-,-,generatesChild
care_home,prehistoria,Cuidar la Llar,🏠,home,home,Descansa i enforteix els llaços de la tribu. Recupera salut.,social,-,tribal_organization,-,-,-,-,-,15,12,3,-,0,-,-,0.3,weaving|socialitzar|cooking,tribe_conflict|epidemic,""
cook_food,prehistoria,Cuinar,🍳,home,home,Cuina els aliments sobre el foc. Recupera forces i millora l'ànim.,intelligence,-,fire,-,-,-,-,-,-,12,15,-,0,-,0.2,-,cooking,-,bonus_fire
educate_child,prehistoria,Educar Fills,📖,home,home,Transmet una de les teves habilitats a un fill.,social,-,-,-,-,-,true,true,-,-,8,3,-,0,-,0.2,0.2,-,-,teachesSkill
explore,prehistoria,Explorar,🗺️,forest,survival,Aventurar-se lluny. Risc alt recursos rars.,physical,-,stone_tools,3,-,-,-,-,8,-,-,-,16,0.5,0.2,-,tracking|fishing,found_shelter|injured_companion|neighboring_tribe,bonus_stone_tools
negotiate,prehistoria,Negociar,🤲,town,home,Estableix acords beneficiosos amb tribus veïnes.,social,persuasion,-,-,-,-,-,-,12,-,15,10,0,-,-,0.5,socialitzar,neighboring_tribe,""
mediate_conflict,prehistoria,Mediar Conflicte,⚖️,town,home,Resol disputes internes i enforteix la cohesió tribal.,social,persuasion,-,-,-,-,-,-,-,-,10,15,0,-,-,0.4,socialitzar,-,""
tell_stories,prehistoria,Contar Gestes,🔥,home,knowledge,Narra les gestes ancestrals al voltant del foc. La tribu recorda i s'enforteix.,intelligence,oral_tradition,-,-,-,-,-,-,-,-,20,5,0,-,0.4,-,art_narratiu,spiritual_vision,""
teach_group,prehistoria,Ensenyar en Grup,🧑‍🏫,home,knowledge,Transmissió estructurada de coneixement a tota la tribu alhora.,intelligence,oral_tradition,-,-,-,-,-,-,-,-,8,10,0,-,0.5,0.1,art_narratiu|weaving,-,""
rally_tribe,prehistoria,Mobilitzar la Tribu,📯,town,home,Convoca la tribu i organitza esforços col·lectius.,social,chieftainship,-,-,-,-,-,-,-,-,15,25,0,-,-,0.5,socialitzar,-,""
lead_hunt,prehistoria,Caça Organitzada,🦬,forest,survival,Lidera una caça col·lectiva. Menjar abundant per a tota la tribu.,physical,chieftainship,-,2,-,-,-,-,35,-,-,10,8,0.4,-,0.3,tracking,great_prey|dangerous_prey,risk_reduction_stone_tools
trade_resources,prehistoria,Bescanviar Recursos,🔄,town,home,Intercanvia excedents amb tribus veïnes per recursos que necessites.,social,barter_trade,-,-,-,-,-,-,15,-,10,8,0,-,0.3,0.3,socialitzar,neighboring_tribe,""
establish_trade_route,prehistoria,Ruta Comercial,🛤️,town,home,Estableix una ruta permanent d'intercanvi. El llinatge es fa conegut.,intelligence,barter_trade,-,-,-,-,-,-,-,-,8,22,0,-,0.4,0.2,-,-,""
cook_feast,prehistoria,Gran Festí,🍖,home,home,Prepara un festí per a tota la tribu. Cohesió i alegria màximes.,intelligence,cooking_mastery,-,-,-,-,-,-,-,5,30,10,0,-,0.2,0.2,cooking,-,bonus_fire
preserve_food,prehistoria,Conservar Aliments,🏺,home,home,Tècniques per conservar menjar durant l'hivern. Reserves assegurades.,intelligence,cooking_mastery,-,-,-,-,-,-,25,-,5,-,0,-,0.3,-,cooking,-,bonus_fire
torch_hunt,prehistoria,Caça amb Torxes,🔦,forest,survival,Caça nocturna amb torxes. Les preses no s'esperen la llum.,physical,fire_techniques,-,-,-,-,-,-,28,-,8,-,6,0.4,0.2,-,tracking,great_prey|dangerous_prey,risk_reduction_stone_tools
signal_fires,prehistoria,Senyals de Foc,🚨,wild,home,Usa el foc per comunicar-te amb tribus distants i cridar aliats.,social,fire_techniques,-,-,-,-,-,-,-,-,10,15,0,-,-,0.4,socialitzar,-,bonus_fire
hunt_mammoth,prehistoria,Caçar el Mamut,🦣,forest,survival,La gran caça. Perill extrem recompensa llegendària.,physical,big_game_hunting,-,2,-,-,-,-,50,-,-,15,22,0.6,-,-,tracking,great_prey|dangerous_prey|injured_companion,risk_reduction_stone_tools
hunt_bison,prehistoria,Caçar el Bisó,🦬,forest,survival,El bisó és ràpid i perillós però menys que el mamut.,physical,big_game_hunting,-,-,-,-,-,-,35,-,-,8,14,0.5,-,-,tracking,great_prey|injured_companion,risk_reduction_stone_tools
craft_weapons,prehistoria,Forjar Armes,⚔️,town,knowledge,Armes especialitzades de pedra i os que milloren la caça del llinatge.,intelligence,advanced_crafting,-,-,-,-,-,-,-,-,12,8,0,0.2,0.4,-,weaving,-,bonus_stone_tools
craft_ornaments,prehistoria,Crear Ornaments,💎,town,knowledge,Joies i ornaments que incrementen el prestigi del llinatge.,intelligence,advanced_crafting,-,-,-,-,-,-,-,-,15,14,0,-,0.3,0.2,weaving|art_narratiu,-,""
healing_ritual,prehistoria,Ritual Curatiu,🌿,home,home,Ritual espiritual per guarir els membres malalts de la tribu.,intelligence,shamanism,-,-,-,-,-,-,-,25,15,-,0,-,0.3,0.2,medicinal_plants,spiritual_vision,bonus_symbolic_thinking
spirit_ceremony,prehistoria,Cerimònia Espiritual,🧿,town,home,Gran cerimònia que uneix la tribu al voltant de les forces del cosmos.,social,shamanism,-,-,-,-,-,-,-,-,30,20,0,-,0.2,0.5,art_narratiu,spiritual_vision,bonus_symbolic_thinking
paint_cave,prehistoria,Pintura Rupestre,🎨,wild,knowledge,Immortalitza les gestes del llinatge a les parets de les coves.,intelligence,cave_art,-,-,-,-,-,-,-,-,18,8,0,-,0.5,-,art_narratiu,spiritual_vision,bonus_symbolic_thinking
carve_symbols,prehistoria,Gravar Símbols,🗿,home,knowledge,Grava símbols en pedra i os. Missatges per a les generacions futures.,intelligence,cave_art,-,-,-,-,-,-,-,-,12,6,0,-,0.4,-,art_narratiu|weaving,-,""
plant_seeds,prehistoria,Plantar Llavors,🌱,wild,survival,Primers intents de cultiu intencionat. Menjar estable i de baix risc.,intelligence,proto_agriculture,-,-,-,-,-,-,20,-,10,-,0,-,0.4,-,medicinal_plants,good_harvest|crop_failure,bonus_sedentarism
tend_crops,prehistoria,Conrear,🌾,wild,survival,Cuida els cultius i maximitza la collita de la temporada.,intelligence,proto_agriculture,-,-,-,-,-,-,30,-,5,-,0,-,0.3,-,-,good_harvest|crop_failure,bonus_sedentarism
build_shelter,prehistoria,Construir Refugi,🏗️,home,home,Construeix estructures permanents per protegir la tribu del fred i la pluja.,physical,shelter_building,-,-,-,-,-,-,-,20,10,15,0,0.3,0.2,-,weaving,-,bonus_sedentarism
fortify_camp,prehistoria,Fortificar el Camp,🛡️,town,home,Reforça les defenses del campament. La tribu dorm tranquil·la.,physical,shelter_building,-,-,-,-,-,-,-,-,8,18,0,0.4,0.1,-,-,-,""
